geneid,iDUX4_logFC,iDUX4_logCPM,iDUX4_LR,iDUX4_pval,iDUX4_fdr,hl.ratio,area,protein.length,rep,IQR,QCoD,count,mean,sd,zscore,pval
TRIM60,4.294321247,1.539323911,9.48744739,0.002068825,0.004213566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LRRC8B,4.293367546,5.042574376,201.1214694,1.19E-45,2.67E-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PKP2,4.291111027,2.068154483,17.12827194,3.49E-05,9.53E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEKR1,4.282264833,1.720990104,11.60712593,6.57E-04,0.001469056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEKR1,4.282264833,1.720990104,11.60712593,6.57E-04,0.001469056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHLHE22,4.280639112,1.532546526,9.385812465,0.002186711,0.004431359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFRD1,4.275126951,8.050003119,1664.349148,0,0,3.937592197,214912.4219,451,3.5,1.784028949,0.453076108,6,-0.012709933,0.38801555,10.18078303,2.42E-24
PRKAR2B,4.243037731,2.741104658,32.49833592,1.19E-08,4.90E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFM,4.234827729,2.900064639,37.32514977,1.00E-09,4.52E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAPT,4.196930373,2.451300246,24.64431498,6.89E-07,2.35E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PELI1,4.19638534,6.605889197,602.8939013,3.93E-133,3.18E-131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
